"SAMPLEID"	"INDEX_NAME"	"SITE_TYPE"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"
"7955.02-72_11_2_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.61581920903955	0.38418079	0	0
"7955.02-8_10_4_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.02-9_10_4_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.4-1_10_1_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0.5	0.5	0	0	0
"7955.4-10_10_2_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0.45622119815668	0.45622119815668	0.0875576	0	0
"7955.4-11_10_2_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.4-12_10_2_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.4-13_10_2_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.08457711442786	0.91542289	0	0
"7955.4-14_10_2_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.06603773584906	0.93396226	0	0
"7955.4-15_10_5_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.4-16_10_5_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.4-17_10_5_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0.2	0.8	0	0	0
"7955.4-18_10_9_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.4-19_10_9_2018_1_First"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0
"7955.4-2_10_1_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.4-20_10_9_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.4-21_10_9_2018_1_First"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0
"7955.4-23_10_9_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0.84883720930233	0.15116279	0	0	0
"7955.4-25_10_9_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
