"SAMPLEID"	"INDEX_NAME"	"SITE_TYPE"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"
"12000_1_07-B-055 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.75	0.25
"12000_1_07-B-055 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.75	0.25	0
"12000_1_07-B-055 Third_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12000_1_07-B-055_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"12001_1_07-B-056 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12001_1_07-B-056_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"12002_1_07-B-057 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12002_1_07-B-057_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0.81188118811881	0.18811881	0	0
"12007_1_07-B-058 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.25	0.75
"12007_1_07-B-058 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0.73809523809524	0.26190476	0	0	0
"12007_1_07-B-058_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0.5	0.5	0	0	0
"12008_1_07-B-059 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.75	0.25
"12008_1_07-B-059_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0.5	0.5	0	0	0
"12009_1_07-B-060 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12009_1_07-B-060_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0
"12010_1_07-B-061 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12010_1_07-B-061_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"12011_1_07-B-062 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12011_1_07-B-062 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"12011_1_07-B-062_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"12030_1_07-B-063 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12030_1_07-B-063_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.96891191709845	0.03108808	0
"12031_1_07-B-064 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"12031_1_07-B-064 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12031_1_07-B-064 Third_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
