"SampleID"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"	"Memb.Total"	"Memb.QC"	"Lev.1.Memb"	"Lev.1.Name"	"Lev.2.Memb"	"Lev.2.Name"	"Lev.Memb.Diff"	"Lev.Memb.close"	"Lev.Prop.Num"	"Lev.Prop.Nar"
"12058_1_07-B-087_Kick Net 2M2"	0	0	0	0.61616161616162	0.38383838	0	1	"PASS"	0.61616161616162	4	0.38383838	5	0.23232323616162	NA	4.38383836464648	"4-"
"12059_1_07-B-088 RANQ_Kick Net 2M2"	0	0	0	0	0	1	1	"PASS"	1	6	0	NA	1	NA	6	"6"
"12059_1_07-B-088 Second_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12059_1_07-B-088_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12060_1_07-B-089 RANQ_Kick Net 2M2"	0	0	0	0	0	1	1	"PASS"	1	6	0	NA	1	NA	6	"6"
"12060_1_07-B-089_Kick Net 2M2"	0	0	0	0.31147540983607	0.68852459	0	1	"PASS"	0.68852459	5	0.31147540983607	4	0.37704918016393	NA	4.68852458934428	"5+"
"12061_1_07-B-093 RANQ_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12061_1_07-B-093_Kick Net 2M2"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"12064_1_07-B-092 RANQ_Kick Net 2M2"	0	0	0	0	0.75	0.25	1	"PASS"	0.75	5	0.25	6	0.5	NA	5.25	"5-"
"12064_1_07-B-092_Kick Net 2M2"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"12065_1_07-B-091 RANQ_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12065_1_07-B-091_Kick Net 2M2"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"12066_1_07-B-090 RANQ_Kick Net 2M2"	0	0	0	0	0.75	0.25	1	"PASS"	0.75	5	0.25	6	0.5	NA	5.25	"5-"
"12066_1_07-B-090_Kick Net 2M2"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"12071_1_07-B-094 RANQ_Kick Net 2M2"	0	0	0	0	0.75	0.25	1	"PASS"	0.75	5	0.25	6	0.5	NA	5.25	"5-"
"12071_1_07-B-094_Kick Net 2M2"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"12072_1_07-B-095 RANQ_Kick Net 2M2"	0	0	0	0	0.75	0.25	1	"PASS"	0.75	5	0.25	6	0.5	NA	5.25	"5-"
"12072_1_07-B-095 Second_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12072_1_07-B-095_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12073_1_07-B-097 RANQ_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12073_1_07-B-097 Second_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12073_1_07-B-097_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12074_1_07-B-096 RANQ_Kick Net 2M2"	0	0	0	0	0.5	0.5	1	"PASS"	0.5	5	0.5	6	0	"tie"	5.5	"5/6 tie"
"12074_1_07-B-096 Second_Kick Net 2M2"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"12074_1_07-B-096_Kick Net 2M2"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"12076_1_07-B-098 RANQ_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12076_1_07-B-098_Kick Net 2M2"	0	0	0	0.23655913978495	0.76344086	0	1	"PASS"	0.76344086	5	0.23655913978495	4	0.52688172021505	NA	4.7634408591398	"5+"
"12077_1_07-B-099 RANQ_Kick Net 2M2"	0	0	0	0	0.25	0.75	1	"PASS"	0.75	6	0.25	5	0.5	NA	5.75	"6+"
"12077_1_07-B-099 Second_Kick Net 2M2"	0	0	0	0.44796380090498	0.5520362	0	1	"PASS"	0.5520362	5	0.44796380090498	4	0.10407239909502	"yes"	4.55203620361992	"5+"
"12077_1_07-B-099_Kick Net 2M2"	0	0	0	0.13300492610837	0.86699507	0	1	"PASS"	0.86699507	5	0.13300492610837	4	0.73399014389163	NA	4.86699505443348	"5+"
"12078_1_07-B-101 RANQ_Kick Net 2M2"	0	0	0	0	0	1	1	"PASS"	1	6	0	NA	1	NA	6	"6"
"12078_1_07-B-101_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12079_1_07-B-100 RANQ_Kick Net 2M2"	0	0	0	0	0.5	0.5	1	"PASS"	0.5	5	0.5	6	0	"tie"	5.5	"5/6 tie"
"12079_1_07-B-100 Second_Kick Net 2M2"	0	0	0	0.14285714285714	0.85714286	0	1	"PASS"	0.85714286	5	0.14285714285714	4	0.71428571714286	NA	4.85714287142856	"5+"
"12079_1_07-B-100_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12080_1_07-B-104 RANQ_Kick Net 2M2"	0	0	0	0	0.5	0.5	1	"PASS"	0.5	5	0.5	6	0	"tie"	5.5	"5/6 tie"
"12080_1_07-B-104_Kick Net 2M2"	0	0	0.1413612565445	0.85863874	0	0	1	"PASS"	0.85863874	4	0.1413612565445	3	0.7172774834555	NA	3.8586387296335	"4+"
"12081_1_07-B-103 RANQ_Kick net 1m2"	0	0	0	0	0	1	1	"PASS"	1	6	0	NA	1	NA	6	"6"
"12081_1_07-B-103 Second_Kick net 1m2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
